Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights:  50%|█████     | 52/103 [00:00<00:00, 493.18it/s]Loading weights: 100%|██████████| 103/103 [00:00<00:00, 581.17it/s]
[1mBertModel LOAD REPORT[0m from: sentence-transformers/all-MiniLM-L6-v2
Key                     | Status     |  | 
------------------------+------------+--+-
embeddings.position_ids | UNEXPECTED |  | 

[3mNotes:
- UNEXPECTED[3m	:can be ignored when loading from different task/architecture; not ok if you expect identical arch.[0m
/root/ACPs-app/venv/lib/python3.10/site-packages/networkx/readwrite/json_graph/node_link.py:287: FutureWarning: 
The default value will be changed to `edges="edges" in NetworkX 3.6.

To make this warning go away, explicitly set the edges kwarg, e.g.:

  nx.node_link_graph(data, edges="links") to preserve current behavior, or
  nx.node_link_graph(data, edges="edges") for forward compatibility.
  warnings.warn(
event=kg_graph_load_failed error='links' path=/root/DataSet/processed/knowledge_graph.json
2026-03-15 15:45:09+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-59615d01-4313-4de0-ae13-30ded670e149 state=completed recommendation_count=5
2026-03-15 15:46:25+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-061567ff-ef9f-41cc-b05a-90c0e0bda57f state=completed recommendation_count=5
2026-03-15 15:47:43+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-fbdc8537-8ff9-42fa-b57c-5c6c7af51daa state=completed recommendation_count=5
2026-03-15 15:48:48+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-b0769ba1-57c9-4569-8da9-3af479b14232 state=completed recommendation_count=4
2026-03-15 15:49:52+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-17b11353-42ab-4d6d-a857-4afc7176ac28 state=completed recommendation_count=5
2026-03-15 15:50:59+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-c1c13627-f796-4d01-82d5-b2c919a2b9b9 state=completed recommendation_count=5
2026-03-15 15:52:07+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-ae081519-0ac1-450c-abe8-237e4787af2a state=completed recommendation_count=5
2026-03-15 15:53:18+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-09f83d6b-3b06-459a-ab7e-f86e0290516c state=completed recommendation_count=5
2026-03-15 15:54:27+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-88fc0464-8eec-4fb7-aad5-0f4c73b6fd04 state=completed recommendation_count=5
2026-03-15 15:55:36+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-608af107-aeda-443f-89e7-c6d1f1e2111b state=completed recommendation_count=5
2026-03-15 15:56:42+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-f11177c7-6a68-460c-9a2e-9626c1225e5c state=completed recommendation_count=5
2026-03-15 15:57:50+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-d2f94ea1-3718-4761-9ff3-01e8c7ad94f2 state=completed recommendation_count=5
2026-03-15 15:59:02+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-a3c52628-0865-4441-a18d-43c14ebb0791 state=completed recommendation_count=5
